Key,Source,Context,Changes,English,Russian

xuiAccessories,UI,XUI,,Acessórios
buffRescuerSetBonusOtherT1Tooltip,buffs,buff,,Ally Armor Set Bonus Active,Bônus do Conjunto de Armadura do Aliado Ativo
buffRescuerSetBonusOtherT1Desc,buffs,Buff,,"O aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Rescuer[-]\n\nConsumo de comida e água reduzido em [DECEA3]10%[-], Capacidade de carga aumentada em [DECEA3]1[-], Taxa de recuperação de saúde com cura aumentada em [DECEA3]6%[-], Mais comida e medicina no loot em [DECEA3]4%[-] e velocidade de corrida aumentada em [DECEA3]1%[-]"

buffRescuerSetBonusOtherT2Name,buffs,buff,,Espalhador está próximo
buffRescuerSetBonusOtherT2Tooltip,buffs,buff,,Bônus do Conjunto de Armadura do Aliado Ativo
buffRescuerSetBonusOtherT2Desc,buffs,Buff,,"O aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Rescuer[-]\n\nConsumo de comida e água reduzido em [DECEA3]20%[-], Capacidade de carga aumentada em [DECEA3]2[-], Taxa de recuperação de saúde com cura aumentada em [DECEA3]12%[-], Mais comida e medicina no loot em [DECEA3]8%[-] e velocidade de corrida aumentada em [DECEA3]2%[-]"

buffRescuerSetBonusOtherT3Name,buffs,buff,,Espalhador está próximo
buffRescuerSetBonusOtherT3Tooltip,buffs,buff,,Bônus do Conjunto de Armadura do Aliado Ativo
buffRescuerSetBonusOtherT3Desc,buffs,Buff,,"O aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Rescuer[-]\n\nConsumo de comida e água reduzido em [DECEA3]30%[-], Capacidade de carga aumentada em [DECEA3]3[-], Taxa de recuperação de saúde com cura aumentada em [DECEA3]18%[-], Mais comida e medicina no loot em [DECEA3]12%[-] e velocidade de corrida aumentada em [DECEA3]3%[-]"

buffRescuerSetBonusOtherT4Name,buffs,buff,,Espalhador está próximo
buffRescuerSetBonusOtherT4Tooltip,buffs,buff,,Bônus do Conjunto de Armadura do Aliado Ativo
buffRescuerSetBonusOtherT4Desc,buffs,Buff,,"O aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Rescuer[-]\n\nConsumo de comida e água reduzido em [DECEA3]40%[-], Capacidade de carga aumentada em [DECEA3]4[-], Taxa de recuperação de saúde com cura aumentada em [DECEA3]24%[-], Mais comida e medicina no loot em [DECEA3]16%[-] e velocidade de corrida aumentada em [DECEA3]4%[-]"

buffRescuerSetBonusOtherT5Name,buffs,buff,,Espalhador está próximo
buffRescuerSetBonusOtherT5Tooltip,buffs,buff,,Bônus do Conjunto de Armadura do Aliado Ativo
buffRescuerSetBonusOtherT5Desc,buffs,Buff,,"O aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Rescuer[-]\n\nConsumo de comida e água reduzido em [DECEA3]50%[-], Capacidade de carga aumentada em [DECEA3]5[-], Taxa de recuperação de saúde com cura aumentada em [DECEA3]30%[-], Mais comida e medicina no loot em [DECEA3]20%[-] e velocidade de corrida aumentada em [DECEA3]5%[-]"

buffRescuerSetBonusOtherT6Name,buffs,buff,,Espalhador está próximo
buffRescuerSetBonusOtherT6Tooltip,buffs,buff,,Bônus do Conjunto de Armadura do Aliado Ativo
buffRescuerSetBonusOtherT6Desc,buffs,Buff,,"O aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Rescuer[-]\n\nConsumo de comida e água reduzido em [DECEA3]60%[-], Capacidade de carga aumentada em [DECEA3]10[-], Taxa de recuperação de saúde com cura aumentada em [DECEA3]50%[-], Mais comida e medicina no loot em [DECEA3]30%[-] e velocidade de corrida aumentada em [DECEA3]10%[-]"

buffPredatorSetBonus,buffs,Buff,,[FFD700] CWB [-][FFB800]Predador[-]
buffPredatorSetBonusName,buffs,buff,,Bônus de Armadura
buffPredatorSetBonusTooltip,buffs,buff,,Você se beneficia do bônus da armadura Predador
buffPredatorSetBonusDesc,buffs,Buff,,"Você está usando um conjunto completo de armadura experimental [FFD700] CWB [-][FFB800]Predator[-]\nO dano de armas de fogo aumenta em [DECEA3]{cvar(.armorPredatorFSBDisplay:0)}%[-]\n[FFB800]Segunda Chance[-] - Se você tiver menos de [DECEA3]50[-] HP restantes, a habilidade ativa será acionada. Você fica imune a todo dano por [DECEA3]5[-] seg, e todos os inimigos ao seu redor são derrubados. Tempo de recarga de [DECEA3]90[-] segundos\n[FFB800]Todos à caça![-] - O dano causado por todos os membros do seu grupo aumenta em [DECEA3]10%[-]\n\n[DECEA3]Concede resistência a [DECEA3]1[-] efeito ativo de radiação[-]"

buffSecondChanceActiveName,buffs,buff,,Segunda Chance
buffSecondChanceActiveTooltip,buffs,buff,,Você recebeu uma segunda chance
buffSecondChanceActiveIncDesc,buffs,Buff,,"Segunda Chance Ativada\n\nVocê é imune a todo dano por [DECEA3]5[-] segundos\nTodos os inimigos ao seu redor serão derrubados","Segunda Chance Ativada\n\nVocê é imune a todo dano por [DECEA3]5[-] segundos\nTodos os inimigos ao seu redor serão derrubados"

buffSecondChanceReloadName,buffs,buff,,Recarga da Segunda Chance
buffSecondChanceReloadTooltip,buffs,buff,,Habilidade ativa em recarga
buffSecondChanceReloadDesc,buffs,Buff,,"Habilidade ativa em recarga\n\nAguarde até que termine para poder ativá-la novamente","Habilidade ativa em recarga\n\nAguarde até que termine para poder ativá-la novamente"

buffEveryoneHuntName,buffs,buff,,Todos à caça!
buffEveryoneHuntTooltip,buffs,buff,,Bônus de Conjunto de Armadura Ativo
buffEveryoneHuntIncDesc,buffs,Buff,,"Aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Predador[-]\n\nSeu dano é aumentado em [DECEA3]10%[-]","Aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Predador[-]\n\nSeu dano é aumentado em [DECEA3]10%[-]"

buffDefenderName,buffs,buff,,Defensor
buffDefenderTooltip,buffs,buff,,Bônus de Conjunto de Armadura Ativo
buffDefenderIncDesc,buffs,Buff,,"Aliado possui um conjunto completo de armadura c\n\nResistência ao dano aumentada em [DECEA3]5%[-]","Aliado possui um conjunto completo de armadura [FFD700] CWB [-][FFB800]Maus[-]\n\nResistência ao dano aumentada em [DECEA3]5%[-]"

buffShockTherapyName,buffs,buff,,Terapia de Choque
buffShockTherapyTooltip,buffs,buff,,Você ativou a armadura Maus
buffShockTherapyIncDesc,buffs,Buff,,"Terapia de Choque Ativada\n\nTodos os inimigos dentro de [DECEA3]10[-] metros de você estão sob o efeito de choque elétrico\nVocê perde [FFB800]3[-] HP a cada segundo\nCuidado, isso pode te matar!","Terapia de Choque Ativada\n\nTodos os inimigos dentro de [DECEA3]10[-] metros de você estão sob o efeito de choque elétrico\nVocê perde [FFB800]3[-] HP a cada segundo\nCuidado, isso pode te matar!"

buffRescuerAidKitName,buffs,buff,,Proteção do Resgatador
buffRescuerAidKitTooltip,buffs,buff,,Você está sob a proteção do Resgatador
buffRescuerAidKitDesc,buffs,Buff,,"Você recebeu um tratamento complexo do resgatador.\nSua resistência ao dano foi aumentada.","Você recebeu um tratamento complexo do resgatador.\nSua resistência ao dano foi aumentada"
buffMausSetBonus,buffs,Buff,,[FFD700] CWB [-][FFB800]Maus[-],[FFD700] CWB [-][FFB800]Maus[-]
buffMausSetBonusName,buffs,buff,,Bônus de Armadura
buffMausSetBonusTooltip,buffs,buff,,Você se beneficia do bônus da armadura Maus
buffMausSetBonusDesc,buffs,Buff,,"Você está usando um conjunto completo de armadura experimental [FFD700] CWB [-][FFB800]Maus[-]\nO dano corpo a corpo aumenta em [DECEA3]{cvar(.armorMausFSBDisplay:0)}%[-]\n[FFB800]Terapia de Choque[-] - Quando ativado, todos os inimigos dentro de 10 metros receberão o efeito de choque elétrico, mas você perderá [DECEA3]3[-] HP a cada segundo. Cuidado, você pode acabar se eletrocutando.\n[FFB800]Defensor[-] - A proteção contra dano físico para todos os membros do seu grupo é aumentada em [DECEA3]5%[-]\n\n[DECEA3]Concede resistência a [DECEA3]1[-] efeito ativo de radiação[-]"

medicalRescuerFirstAidKit,items,Clothes,,[FFB800]Apontamento do Resgatador[-] Kit de Primeiros Socorros
medicalRescuerFirstAidKitDesc,items,Clothes,,"Kit de Tratamento Completo do Resgatador\nAdiciona todos os efeitos de tratamento (kit de primeiros socorros, bandagem, gesso, vitaminas, antibióticos) em um único uso. Habilidade passiva [DECEA3]Suporte ao Grupo[-] - Se houver um bônus do Kit Completo do Resgatador, todos os efeitos serão aplicados aos jogadores em um raio de [DECEA3]20[-] metros. Além disso, a ativação remove a maioria dos efeitos negativos de controle dos jogadores, e o efeito [DECEA3]Proteção do Resgatador[-] é aplicado por [DECEA3]5[-] seg - Aumenta a resistência ao dano em [DECEA3]50%[-] ao ser ativado, depois cada segundo [DECEA3]-10%[-] durante a duração do efeito."

armorRescuerHelmet,items,Clothes,,[FFD700] CWB [-][FFB800]Resgatador[-] Capacete
armorRescuerHelmetDesc,items,Clothes,,"Armadura Experimental Leve para a Cabeça\nNenhuma equipe pode ficar sem você. Você ganha mais experiência e melhor loot. Consumo reduzido de água e comida\n\nBônus do Conjunto: Alguns bônus dos elementos da armadura se aplicam a todos os membros do grupo. Habilidade passiva [DECEA3]Suporte ao Grupo[-] - Ao usar Elixires Super e o Kit de Primeiros Socorros do Resgatador, todos os bônus são aplicados a cada membro do grupo. A ativação também remove a maioria dos efeitos negativos de controle e o efeito [DECEA3]Proteção do Resgatador[-] é aplicado. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorRescuerOutfit,items,Clothes,,[FFD700] CWB [-][FFB800]Resgatador[-] Corpo
armorRescuerOutfitDesc,items,Clothes,,"Armadura Experimental Leve para o Corpo\nNenhuma equipe pode ficar sem você. Aumenta a saúde, a capacidade de carga e a velocidade de cura.\n\nBônus do Conjunto: Alguns bônus dos elementos da armadura se aplicam a todos os membros do grupo. Habilidade passiva [DECEA3]Suporte ao Grupo[-] - Ao usar Elixires Super e o Kit de Primeiros Socorros do Resgatador, todos os bônus são aplicados a cada membro do grupo. A ativação também remove a maioria dos efeitos negativos de controle e o efeito [DECEA3]Proteção do Resgatador[-] é aplicado. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorRescuerGloves,items,Clothes,,[FFD700] CWB [-][FFB800]Resgatador[-] Mãos
armorRescuerGlovesDesc,items,Clothes,,"Armadura Experimental Leve para as Mãos\nNenhuma equipe pode ficar sem você. Aumenta a velocidade de mineração e a quantidade de recursos ao salvamento. Você também encontra mais medicina e comida.\n\nBônus do Conjunto: Alguns bônus dos elementos da armadura se aplicam a todos os membros do grupo. Habilidade passiva [DECEA3]Suporte ao Grupo[-] - Ao usar Elixires Super e o Kit de Primeiros Socorros do Resgatador, todos os bônus são aplicados a cada membro do grupo. A ativação também remove a maioria dos efeitos negativos de controle e o efeito [DECEA3]Proteção do Resgatador[-] é aplicado. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorRescuerBoots,items,Clothes,,[FFD700] CWB [-][FFB800]Resgatador[-] Pernas
armorRescuerBootsDesc,items,Clothes,,"Armadura Experimental Leve para as Pernas\nNenhuma equipe pode ficar sem você. Aumenta a resistência, a altura de queda segura e a velocidade de corrida\n\nBônus do Conjunto: Alguns bônus dos elementos da armadura se aplicam a todos os membros do grupo. Habilidade passiva [DECEA3]Suporte ao Grupo[-] - Ao usar Elixires Super e o Kit de Primeiros Socorros do Resgatador, todos os bônus são aplicados a cada membro do grupo. A ativação também remove a maioria dos efeitos negativos de controle e o efeito [DECEA3]Proteção do Resgatador[-] é aplicado. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"
armorPredatorHelmet,items,Clothes,,[FFD700] CWB [-][FFB800]Predator[-] Capacete
armorPredatorHelmetDesc,items,Clothes,,"Armadura Experimental Média para a Cabeça\nSeu tempo para caçar chegou. Você ganha mais experiência e loot de melhor qualidade\n\nBônus do Conjunto: Aumenta o dano de armas de fogo. Adiciona a habilidade ativa [DECEA3]Segunda Chance[-] e a habilidade passiva para aliados [DECEA3]Todos à Caça![-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorPredatorOutfit,items,Clothes,,[FFD700] CWB [-][FFB800]Predator[-] Corpo
armorPredatorOutfitDesc,items,Clothes,,"Armadura Experimental Média para o Corpo\n\nSeu tempo para caçar chegou. Aumenta a saúde e a taxa de recuperação de acertos críticos\n\nBônus do Conjunto: Aumenta o dano de armas de fogo. Adiciona a habilidade ativa [DECEA3]Segunda Chance[-] e a habilidade passiva para aliados [DECEA3]Todos à Caça![-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorPredatorGloves,items,Clothes,,[FFD700] CWB [-][FFB800]Predator[-] Mãos
armorPredatorGlovesDesc,items,Clothes,,"Armadura Experimental Média para as Mãos\nSeu tempo para caçar chegou. Aumenta a velocidade de recarga e a habilidade de manejo de armas\n\nBônus do Conjunto: Aumenta o dano de armas de fogo. Adiciona a habilidade ativa [DECEA3]Segunda Chance[-] e a habilidade passiva para aliados [DECEA3]Todos à Caça![-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorPredatorBoots,items,Clothes,,[FFD700] CWB [-][FFB800]Predator[-] Pernas
armorPredatorBootsDesc,items,Clothes,,"Armadura Experimental Média para as Pernas\nSeu tempo para caçar chegou. Aumenta a resistência e a altura de queda segura\n\nBônus do Conjunto: Aumenta o dano de armas de fogo. Adiciona a habilidade ativa [DECEA3]Segunda Chance[-] e a habilidade passiva para aliados [DECEA3]Todos à Caça![-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorMausHelmet,items,Clothes,,[FFD700] CWB [-][FFB800]Maus[-] Capacete
armorMausHelmetDesc,items,Clothes,,"Armadura Experimental Pesada para a Cabeça\nSua armadura é forte demais para carne em movimento. Você ganha mais experiência, e sua resistência a atordoamento e choque é aumentada\n\nBônus do Conjunto: Aumenta o dano de qualquer arma de combate corpo a corpo. Adiciona uma habilidade ativa [DECEA3]Há uma descarga[-] e uma habilidade passiva para aliados [DECEA3]Protetor dos Fracos[-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorMausOutfit,items,Clothes,,[FFD700] CWB [-][FFB800]Maus[-] Corpo
armorMausOutfitDesc,items,Clothes,,"Armadura Experimental Pesada para o Corpo\nSua armadura é forte demais para carne em movimento. Aumenta a saúde e a velocidade de recuperação de acertos críticos\n\nBônus do Conjunto: Aumenta o dano de qualquer arma de combate corpo a corpo. Adiciona uma habilidade ativa [DECEA3]Há uma descarga[-] e uma habilidade passiva para aliados [DECEA3]Protetor dos Fracos[-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorMausGloves,items,Clothes,,[FFD700] CWB [-][FFB800]Maus[-] Mãos
armorMausGlovesDesc,items,Clothes,,"Armadura Experimental Pesada para as Mãos\nSua armadura é forte demais para carne em movimento. Aumenta a velocidade de ataque corpo a corpo e a resistência a acertos críticos\n\nBônus do Conjunto: Aumenta o dano com qualquer arma de combate corpo a corpo. Adiciona uma habilidade ativa [DECEA3]Há uma descarga[-] e uma habilidade passiva para aliados [DECEA3]Protetor dos Fracos[-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

armorMausBoots,items,Clothes,,[FFD700] CWB [-][FFB800]Maus[-] Pernas
armorMausBootsDesc,items,Clothes,,"Armadura Experimental Pesada para as Pernas\nSua armadura é forte demais para carne em movimento. Aumenta a resistência e a altura de queda segura\n\nBônus do Conjunto: Aumenta o dano com qualquer arma de combate corpo a corpo. Adiciona uma habilidade ativa [DECEA3]Há uma descarga[-] e uma habilidade passiva para aliados [DECEA3]Protetor dos Fracos[-]. Concede resistência a [DECEA3]1[-] efeito ativo de radiação"

0000 -- RANGE WEAPON -- 0000

gunMGT4M60Imp,items,Gun,,M60 [FFD700] CWB [-] [FFD700] CWB [-][DECEA3]Melhorada[-]
gunMGT4M60ImpDesc,items,Gun,,"Modelo  CWB da [FFD700] CWB [-] M60.\nTodas as características principais foram aumentadas. A taxa de disparo foi significativamente aumentada. Melhorou a facilidade de mira.\nEsta é a melhor arma que você poderia sonhar."

gunMGT5M60Bulldog,items,Gun,,[FFD700] CWB [-] [FFB800]BullDog[-]
gunMGT5M60BulldogDesc,items,Gun,,"Modelo experimental Bulldog.\nPermite disparar com munição de calibre .44. As principais características foram significativamente melhoradas. Quando você acerta um inimigo, ele sangra e é desacelerado por 6 segundos.\nA melhor forma de negociar com qualquer horda, nos seus termos."

gunShotgunT4AutoShotgunImp,items,Gun,,[FFD700] CWB [-]Escopeta automática [DECEA3]Improved[-]
gunShotgunT4AutoShotgunImpDesc,items,Gun,,"Modelo  CWB de uma [FFD700] CWB [-]Escopeta automática.\nDano, taxa de disparo e capacidade do carregador foram aumentados. Graças ao aprimoramento do balanceamento, você poderá causar dano a uma distância maior."

gunShotgunT5AutoShotgunEraser,items,Gun,,[FFD700] CWB [-]Escopeta automática [FFB800]Eraser[-]
gunShotgunT5AutoShotgunEraserDesc,items,Gun,,"Modelo experimental Eraser é a arma ideal para disparar contra grandes concentrações de inimigos a curtas e médias distâncias. Um aumento significativo nos principais indicadores permite que você não mate, mas apague."

gunRifleT4SniperRifleImp,items,Gun,,Rifle de precisão [DECEA3]Improved[-]
gunRifleT4SniperRifleImpDesc,items,Gun,,"Modelo  CWB de rifle de precisão.\nUm carregador e taxa de disparo aumentados permitem causar significativamente mais dano aos alvos. Graças ao aprimoramento do balanceamento, você pode alvejar sua vítima a qualquer distância."

gunRifleT5SniperRifleGaus,items,Gun,,[FFD700] CWB [-] [FFB800]Gaus[-]
gunRifleT5SniperRifleGausDesc,items,Gun,,"O modelo experimental Gaus é a arma mais poderosa em termos de causar dano com um único tiro. O inimigo literalmente não conseguirá evitar isso.\nEliminar alvos com um grande suprimento de HP não será um problema."

gunHandgunT4SMG5Imp,items,Gun,,SMG-5 [DECEA3]Improved[-]
gunHandgunT4SMG5ImpDesc,items,Gun,,"Modelo  CWB da pistola semiautomática SMG-5.\nUm carregador e taxa de disparo aumentados permitem causar significativamente mais dano aos alvos. Graças ao aprimoramento do balanceamento, a dispersão da arma foi reduzida."

gunHandgunT5SMG5Zinger,items,Gun,,[FFD700] CWB [-] [FFB800]Zinger[-]
